"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","10/52","200/4383",9.21361320242571e-05,0.003224764620849,0.00290956206392391,"APOE/CHCHD10/MGST3/ATP1B3/CD36/UQCRQ/FABP4/UBC/POR/PLIN2",10
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","8/52","200/4383",0.00217489054542779,0.0380605845449862,0.0343403770330703,"NUPR1/HSPD1/HSPE1/SCD/CTSC/HSPA4/STIP1/HSPA9",8
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","7/52","200/4383",0.00864787085444042,0.0721488189905118,0.0650966787884317,"HSPA1A/APOC1/C1QC/SERPING1/CTSC/CD36/CTSL",7
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","7/52","200/4383",0.00864787085444042,0.0721488189905118,0.0650966787884317,"APOE/AKR1C2/AKR1C3/HMOX1/RBP4/CD36/POR",7
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","6/52","158/4383",0.0103069741415017,0.0721488189905118,0.0650966787884317,"IGFBP2/DNAJB1/FGF18/HMOX1/STIP1/MGAT1",6
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION","4/52","138/4383",0.0797343032058212,0.389192817812299,0.351151414567488,"APOC1/SERPING1/MMP2/CFD",4
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","5/52","200/4383",0.0865615321084859,0.389192817812299,0.351151414567488,"MGST3/UQCRQ/ATP1B1/POR/HSPA9",5
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","2/52","44/4383",0.0952899309263362,0.389192817812299,0.351151414567488,"APP/HSPB1",2
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","2/52","49/4383",0.114179708001882,0.389192817812299,0.351151414567488,"MGST1/FTL",2
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","4/52","158/4383",0.116280842451771,0.389192817812299,0.351151414567488,"HSPH1/LGALS1/HPGD/CD36",4
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","4/52","161/4383",0.122317742741008,0.389192817812299,0.351151414567488,"APP/HMOX1/HSPB1/MMP2",4
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","2/52","58/4383",0.150275066033268,0.438302275930364,0.395460700087547,"HSPD1/HSPE1",2
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","4/52","200/4383",0.211642368978832,0.52910592244708,0.477388802207891,"PVR/IGFBP2/LGALS1/MMP2",4
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","4/52","200/4383",0.211642368978832,0.52910592244708,0.477388802207891,"SCD/APP/CD36/CFD",4
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","2/52","87/4383",0.276204224721714,0.644476524350665,0.581482578361502,"HMOX1/CD36",2
