"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","28/201","354/17872",4.48780674159426e-16,1.33871275101757e-12,9.61335444120454e-13,"NLRP3/IL1B/TNFAIP3/PELI1/NFKBIA/SOD2/IRAK3/NFKB1/GCH1/IL1A/HCK/CXCL2/ZFP36/SCGB1A1/CXCL3/PDE4B/IRAK2/TNIP3/CD55/TNF/CCL3/PRKCE/ADM/CXCL8/LITAF/PTGS2/TNIP1/TLR4",28
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","30/201","485/17872",2.77211399984365e-14,4.13460803076681e-11,2.96907999456939e-11,"IL1B/TNFAIP3/NFKBIA/IRAK3/CCL4/IL1R2/ACSL1/IL1A/HCK/BIRC3/CXCL2/PTPN1/CD44/EREG/CXCL3/IL1RN/IRAK2/IFNGR2/CCL20/TNF/CCL3/PTPN2/TRAF1/CXCL8/CCRL2/STAT3/IRF1/IL2RA/LILRA5/EGR1",30
"GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","21/201","229/17872",1.47050166450339e-13,1.46216882173787e-10,1.04998978500505e-10,"NLRP3/IL1B/TNFAIP3/NFKBIA/NFKB1/IL1A/HCK/CXCL2/ZFP36/CXCL3/PDE4B/IRAK2/TNIP3/CD55/TNF/CCL3/PRKCE/CXCL8/LITAF/TNIP1/TLR4",21
"GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS","21/201","256/17872",1.30106227500915e-12,9.70267191588073e-10,6.96753086748321e-10,"NLRP3/IL1B/TNFAIP3/NFKBIA/NFKB1/IL1A/HCK/CXCL2/ZFP36/CXCL3/PDE4B/IRAK2/TNIP3/CD55/TNF/CCL3/PRKCE/CXCL8/LITAF/TNIP1/TLR4",21
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","24/201","397/17872",2.08960352458905e-11,1.24665746276983e-08,8.95230141587100e-09,"NLRP3/IL1B/TNFAIP3/NFKBIA/NFKBIZ/NFKB1/FPR2/HCK/BIRC3/ZFP36/SCGB1A1/BCL6/LDLR/TNF/PIK3AP1/CCL3/PTPN2/TNFAIP6/PTGS2/TNIP1/IL2RA/LILRA5/TLR4/MEFV",24
"GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE","GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE","GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE","25/201","492/17872",3.13420203461028e-10,1.46452960710506e-07,1.05168507523644e-07,"IL1B/CCL4/CFLAR/FPR2/IL1A/PTPN1/CD44/THBS1/SLAMF1/PTEN/INSR/GPR183/RAPGEF2/CCL20/HIPK2/ICAM1/TNF/CCL3/GADD45B/TRAF1/PRKCE/AKAP13/FLT1/LILRA5/TLR4",25
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","22/201","381/17872",3.62741985478825e-10,1.46452960710506e-07,1.05168507523644e-07,"NLRP3/IL1B/PELI1/ZBTB16/NFKBIZ/IL1A/CD44/SCGB1A1/RHOH/SLAMF1/BCL6/CD55/ICAM1/TNF/PTPN2/NFAT5/PAG1/SDC4/HLA-DQA2/TNIP1/IRF1/IL2RA",22
"GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","18/201","248/17872",4.20237306825853e-10,1.46452960710506e-07,1.05168507523644e-07,"TNFAIP3/NFKBIA/CCL4/NFKB1/GCH1/BIRC3/ZFP36/THBS1/CCL20/TNF/CCL3/PTPN2/TRAF1/NFE2L2/CXCL8/PTGS2/GBP2/CD58",18
"GOBP_LEUKOCYTE_MIGRATION","GOBP_LEUKOCYTE_MIGRATION","GOBP_LEUKOCYTE_MIGRATION","22/201","385/17872",4.41862771168138e-10,1.46452960710506e-07,1.05168507523644e-07,"IL1B/CCL4/FPR2/IL1A/HCK/CXCL2/THBS1/RHOH/SLAMF1/CXCL3/PDE4B/ADGRE2/GPR183/CCL20/DUSP1/CH25H/ICAM1/TNF/CCL3/CXCL8/TNFAIP6/FLT1",22
"GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","19/201","288/17872",6.7769028313815e-10,2.0215501146011e-07,1.4516839223012e-07,"IL1B/TNFAIP3/PELI1/NFKBIA/CFLAR/IL1A/BIRC3/RHOH/IRAK2/TNIP3/TNF/TRAF1/PRKCE/REL/AKAP13/LITAF/TNIP1/TLR4/SLC44A2",19
