"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION","34/171","148/17872",9.8552906384195e-38,2.0932637316003e-34,1.77810191097379e-34,"RPL15/RPL8/RPS15/RPLP1/RPS2/RPS18/RPS26/RPS25/RPS14/RPS3/RPL27A/RPL13/RPL19/RPL7A/RPL28/RPL27/RPS9/RPS6/UBA52/RPL3/RPL35A/RPL18A/RPS13/RPS20/RPS5/RPL10A/RPL11/RPL12/RPL29/RPL18/RPL7/RPL4/RPS19/YBX1",34
"GOBP_ATP_METABOLIC_PROCESS","GOBP_ATP_METABOLIC_PROCESS","GOBP_ATP_METABOLIC_PROCESS","15/171","273/17872",5.9251776207753e-08,6.29253863326337e-05,5.34513391684677e-05,"TMSB4X/HIF1A/TSPO/COX5B/ATP5MG/COX7C/HSPA8/COX4I1/COX6A1/UQCRB/UQCR10/ALDOA/NDUFB10/TPI1/NDUFA4",15
"GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS","15/171","303/17872",2.29838582141179e-07,0.000136565408478575,0.00011600411841227,"RPS15/NOP10/RPS25/RPS14/RPL7A/RPL27/RPS6/RPL3/RPL35A/RPS5/USP36/RPL10A/RPL11/RPL7/RPS19",15
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","11/171","153/17872",2.57185326701648e-07,0.000136565408478575,0.00011600411841227,"TMSB4X/COX5B/ATP5MG/ATP6V0E1/ATP6V1F/COX4I1/COX6A1/COX6B1/UQCR10/ATP6V1G1/NDUFA4",11
"GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","5/171","21/17872",1.35937956447184e-06,0.000545132488679777,0.000463057332538972,"TYROBP/VAMP8/ITGB2/FCER1G/STXBP2",5
"GOBP_RRNA_METABOLIC_PROCESS","GOBP_RRNA_METABOLIC_PROCESS","GOBP_RRNA_METABOLIC_PROCESS","13/171","263/17872",1.53992228440615e-06,0.000545132488679777,0.000463057332538972,"RPS15/NOP10/RPS25/RPS14/RPL7A/RPL27/RPS6/RPL35A/USP36/RPL10A/RPL11/RPL7/RPS19",13
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","8/171","92/17872",2.80257095910021e-06,0.000850380102446979,0.000722346860736506,"COX5B/COX7C/COX4I1/COX6A1/UQCRB/UQCR10/NDUFB10/NDUFA4",8
"GOBP_CELLULAR_OXIDANT_DETOXIFICATION","GOBP_CELLULAR_OXIDANT_DETOXIFICATION","GOBP_CELLULAR_OXIDANT_DETOXIFICATION","8/171","100/17872",5.25129699364981e-06,0.00127298030346609,0.00108132036878823,"GPX1/APOE/S100A9/TXNDC17/CD36/SELENOT/GSTP1/MGST3",8
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","16/171","441/17872",5.39398433672074e-06,0.00127298030346609,0.00108132036878823,"TMSB4X/CYBA/TYROBP/VAMP8/AIF1/GRN/PYCARD/S100A9/LGALS1/HSP90AA1/FCN1/S100A8/MNDA/STX3/RPS19/OXSR1",16
"GOBP_GRANULOCYTE_ACTIVATION","GOBP_GRANULOCYTE_ACTIVATION","GOBP_GRANULOCYTE_ACTIVATION","6/171","48/17872",6.18136149950967e-06,0.00131292118249585,0.00111524774843785,"TYROBP/VAMP8/GRN/ITGB2/FCER1G/STXBP2",6
"GOBP_OXIDATIVE_PHOSPHORYLATION","GOBP_OXIDATIVE_PHOSPHORYLATION","GOBP_OXIDATIVE_PHOSPHORYLATION","9/171","139/17872",7.69557925040331e-06,0.00137582659923288,0.00116868212463334,"COX5B/ATP5MG/COX7C/COX4I1/COX6A1/UQCRB/UQCR10/NDUFB10/NDUFA4",9
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","16/171","454/17872",7.77303163408409e-06,0.00137582659923288,0.00116868212463334,"RPS15/NOP10/RPS25/RPS14/RPL7A/RPL27/RPS6/RPL3/RPL35A/RPS5/USP36/RPL10A/RPL11/RPL7/HSP90AA1/RPS19",16
"GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN","GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN","GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN","8/171","113/17872",1.29978873257546e-05,0.00197261198860924,0.00167561549632086,"COX5B/COX7C/COX4I1/COX6A1/UQCRB/UQCR10/NDUFB10/NDUFA4",8
"GOBP_AEROBIC_RESPIRATION","GOBP_AEROBIC_RESPIRATION","GOBP_AEROBIC_RESPIRATION","10/171","187/17872",1.30021505840534e-05,0.00197261198860924,0.00167561549632086,"HIF1A/COX5B/ATP5MG/COX7C/COX4I1/COX6A1/UQCRB/UQCR10/NDUFB10/NDUFA4",10
"GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS","5/171","34/17872",1.68086854758018e-05,0.00238010986337354,0.0020217604845982,"CYBA/TYROBP/ITGB2/CD36/GSTP1",5
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","12/171","288/17872",2.20207216545116e-05,0.0026459910858465,0.00224761062599906,"CYBA/TYROBP/VAMP8/GRN/PYCARD/S100A9/LGALS1/HSP90AA1/FCN1/S100A8/MNDA/RPS19",12
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN","4/171","18/17872",2.22978863426774e-05,0.0026459910858465,0.00224761062599906,"COX5B/COX7C/COX4I1/COX6A1",4
"GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS","5/171","36/17872",2.24236532698856e-05,0.0026459910858465,0.00224761062599906,"APOE/ITGB2/FCER1G/CD36/CD9",5
